Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Inwestycja w rozwój i uodpornienie na sytuacje kryzysowe działalności przedsiębiorstwa GASTRO MIX Sp. z o.o. realizowana w województwie śląskim,GASTRO MIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Katowice,Storczyków,32A,40-748,443556.03
"Wprowadzenie przez firmę ""MAJA"" stołówka, catering, handel artykułami spożywczymi Marzena Konieczny wyrobów garmażeryjnych pakowanych w słoiki - projektrealizowany w regionie śląskim","""MAJA"" - STOŁÓWKA, KATERING,HANDEL ARTYKUŁAMI SPOŻYWCZYMI MARZENA KONIECZNY",ŚLĄSKIE,Międzyświeć,Cieszyńska,69,43-430,441769.25
"Inwestycja na terenie województwa śląskiego w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie działalności gospodarczej o nowe usługi w lokalu U Taty poprzez budowę i wyposażenie ogrodu letniego oraz tarasu do organizacji imprez plenerowych, celem pozyskania nowych klientów.","JÓZEF SZOTA FIRMA HANDLOWO USŁUGOWA ""JEMES""",ŚLĄSKIE,Zawiercie,Strumień,39,42-400,309370.72
Rozwinięcie profilu działalności firmy o otworzenie Kina Plenerowego i wypożyczalni rowerów oraz rozszerzenie świadczonych usług dla gości woj. Śląskie (REGION 4),PATIO 3 MONIKA KOŁODZIEJCZAK,ŚLĄSKIE,Katowice,Tadeusza Kościuszki,352,42-690,414000.01
Rozwój działalności przedsiębiorstwa w branży gastronomicznej poprzez inwestycję w infrastrukturę i szkolenia pracowników.,"Przedsiębiorstwo Usługowe ""MARBUD"" Marcin Gajewicz",ŁÓDZKIE,Kutno,Kasztanowa,15,99-300,228268.96
Inwestycja na terenie województwa śląskiego w zwiększenie odporności przedsiębiorstwa Cybermachina poprzez rozszerzenie i dywersyfikację działalności lokalu polegającą na dodaniu innowacyjnej formy integracji dla firm oraz możliwości organizacji konferencji,Cybermachina Michał Gomoła,ŚLĄSKIE,Katowice,św. Jana,10,40-012,240894.83
"Rozszerzenie działalności firmy Firma Produkcyjno-Handlowo-Usługowa ""JABOR"" Jan, Jarosław i Maciej Czajkowscy w regionie 4 – opolskie po przez wdrożenie nowej usługi hotelowej w postaci spa oraz oferty dla biznesu.","Firma Produkcyjno-Handlowo-Usługowa ""JABOR"" Jan, Jarosław i Maciej Czajkowscy",OPOLSKIE,Namysłów,Oławska,36A,46-100,444000.0
Mobilna Chata Olimpijczyka - regionalna kuchnia z Wisły w woj. śląskim dostępnaw całej Polsce.,Chata Olimpijczyka Jasia i Helenki kuchnia regionalna i włoska HELENA LEGIERSKA JAN LEGIERSKI S.C.,ŚLĄSKIE,Wisła,al. Księdza Biskupa Juliusza Bursche,33,43-460,490251.0
"Rozszerzenie działalności firmy Firma Usługowo - Handlowa ""P. IWO"" Iwo Gnieciak w regionie 4 – opolskie po przez uruchomienie stacji ładowania pojazdów elektrycznych oraz wypożyczalni rowerów.","Firma Usługowo - Handlowa ""P. IWO"" Iwo Gnieciak",OPOLSKIE,Chrząstowice,Opolska,15,46-053,198636.45
Dywersyfikacja działalności firmy Zajazd Pod Borem Tomasz Bitner w regionie 4 –opolskie po przez wdrożenie usługi gastronomicznej dla podmiotów prywatnych i publicznych.,Zajazd Pod Borem Tomasz Bitner,OPOLSKIE,Pokój,Namysłowska,28,46-034,409588.14
Nowe usługi turystyki medycznej w województwie śląskim,RESTAURACJA TRZECH BRACI DOROTA STASZKIEWICZ,ŚLĄSKIE,Cieszyn,Motelowa,1A,43-400,327681.39
Inwestycja na terenie województwa śląskiego w zwiększenie odporności i konkurencyjności restauracji Złoty Bażant oraz rozszerzenie działalności gospodarczej o nowe usługi poprzez rozbudowę bazy produkcyjnej i przestrzeni użytkowej celem przyciągnięcia nowych klientów.,"P.P.H.U. ""TOPAZ"" ADAM MUSIAŁ",ŚLĄSKIE,Bonowice,,99,42-445,335368.68
Od odporności do rozwoju: Dywersyfikacja działalności jako klucz do sukcesu wczasach pandemii,Katarzyna Heller Pod Królem Polskim,ŚLĄSKIE,Cieszyn,Wyższa Brama,10,43-400,260887.41
"Rozwój firmy Mateusz Myśliwczyk – Usługi Turystyczne działającej na terenie województwa opolskiego poprzez dywersyfikację jej usług: budowa dwóch domków rekreacyjnych w celu ich wynajmu, zakup wyposażenia, zakup oprogramowania do zarządzania rezerwacjami wraz ze szkoleniami podnoszącymi kwalifikacje właściciela oraz doposażenie domków w instalację fotowoltaiczną.",Mateusz Myśliwczyk Usługi Turystyczne,OPOLSKIE,Chocianowice,,262,46-280,538573.07
"Rozszerzenie oferty usług aktywnego wypoczynku w Górskim OśrodkuWypoczynkowym ""POŁONINA"" w Korbielowie ( region 4, województwo śląskie )","PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNE ""UNITURIST"" Sp. z o.o.",ŚLĄSKIE,Korbielów,Szczyrbok,56,34-335,339534.0
Wyższy poziom - nowoczesne zawody pływackie Region 4,MARIOSPORT SIEMASZ MARIUSZ,ŚLĄSKIE,Cieszyn,Orla,29,43-400,194527.0
Rozszerzenie oraz dywersyfikacja prowadzonej działalności- Willa Bieńkula w Szczyrku poprzez nową usługę - utworzenie wypożyczalni rowerów elektrycznych (region 4-śląskie).,Dorota Marciniak,ŚLĄSKIE,Szczyrk,Narciarska,11,43-370,178216.9
"Dywersyfikacja działalności lokalu Jazz Club Muzeum przez wprowadzenie nowych usług: organizacja konferencji, spotkań firmowych i rodzinnych, cyklicznych jam sessions, wynajem sceny i sprzętu scenicznego oraz obsługa dźwiękowa i oprawa świetlna imprez, zwiększając konkurencyjność i stabilność przedsiębiorstwa (region4 - śląskie)",MAJAL Zbigniew Woszczyna,ŚLĄSKIE,Jaworzno,Pocztowa,5,43-600,126450.86
"Dywersyfikacja działalności gospodarczej P.M.U. ""MANAGER-POL"" S.C. S.OLCHAWA,A.KYRCZ poprzez znaczące ulepszenie usług gastronomicznych oraz nowe usługiSPA oraz catering (obszar 4 - Śląskie)","P.M.U. ""MANAGER-POL"" S.C.S.OLCHAWA, A.KYRCZ",ŚLĄSKIE,Zabrze,pl. Plac Warszawski,5,41-800,415608.03
Hotel Mazowiecki - wzmocnienie pozycji konkurencyjnej legendarnej marki hotelowej z regionu łódzkiego.,"""K&M MANAGEMENT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ŁÓDZKIE,Łódź,28 Pułku Strzelców Kaniowskich,53/57,90-640,437914.34
"Dywersyfikacja działalności firmy BUS-CENTRUM Paweł Wójcik poprzez zakup infrastruktury sprzętowej pozwalającej na wprowadzenie nowych produktów kateringowych dla odbiorców zewnętrznych, takich jak szpitale, szkoły, przedszkola i firmy zewnętrzne, zabezpieczających firmę na wypadek przyszłych kryzysów Region 4, województwo opolskie.",BUS-CENTRUM PAWEŁ WÓJCIK,OPOLSKIE,Opole,Szpitalna,13,45-010,428664.95
"Wdrożenie nowych produktów: organizacja targów, wystaw i imprez im towarzyszących oraz wynajmu infrastruktury dla organizatorów targów, wystaw i imprez im towarzyszących odbywających się w województwie opolskim.",Namioty Brol Daniel Brol,OPOLSKIE,Gronowice,,94a,46-280,539939.97
La Cantina - dywersyfikacja oferty gastronomicznej w Dolinie Trzech Stawów w Katowicach,La Cantina Jolanta Zakordoniec Spółka Jawna,ŚLĄSKIE,Katowice,Trzech Stawów,22,40-289,472713.71
Wprowadzenie usług z zakresu poprawy kondycji fizycznej skierowanych dla mieszkańców subregionu południowego województwa opolskiego.,KASPEC-TAJWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Opolskie,Nysa,3 Maja,34,45-303,539201.4
Nowoczesna usługa cateringowa na mapie terenu powiatu opolskiego.,OPOLANKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,OPOLSKIE,Opole,Dworska,2,45-843,475761.1
Modernizacja i rozbudowa obiektu restauracji JOKER CLUB w Tychach,Roman Szyja Joker Club,ŚLĄSKIE,Tychy,Boczna,4,43-100,443443.7
"Dywersyfikacja oferty cukierni Amadeo w Chorzowie w woj. śląskim polegająca na wprowadzeniu nowych produktów cukierniczych własnego wyrobu, oferty menu śniadaniowego oraz usługi cateringowej obejmującej wszystkie wyroby własne oraz stworzenie w altanach stanowiska do dystrybucji lodów rzemieślniczych.","""AMADEO"" - PAULINA I DARIUSZ ZAJĄC SPÓŁKA CYWILNA",ŚLĄSKIE,Chorzów,Wolności,66,41-500,292417.12
Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa Nobel Suites Sp. z o. o. poprzez inwestycje w sektorze HoReCa dla Regionu 4 - województwo śląskie.,NOBEL SUITES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Szczyrk,Jodłowa,21,43-370,447581.43
Dywersyfikacja i rozwój działalności firmy Włoskie Podróże s.c. (Region 4 - opolskie),"WŁOSKIE PODRÓŻE S.C. S. LEGUT, M. LEGUT",OPOLSKIE,Głuchołazy,Aleja Jana Pawła II,3,48-340,108583.65
Rozszerzenie działalności firmy z województwa śląskiego poprzez wprowadzenie do oferty nowego produktu,RADZIMSKA KRYSTYNA LOTY.PL PODRÓŻE I UBEZPIECZENIA,ŚLĄSKIE,Toszek,Gliwicka,32,44-180,218338.6
"""Śląska Sala Bankietowa: Nowa Przestrzeń na Wielkie Wydarzenia""",PRZEDSIĘBIORSTWO WIELOBRANŻOWE SENATOR JANUSZ WALECKI,ŚLĄSKIE,Ruda Śląska,Wolności,45,41-700,347373.94
Rozszerzenie działalności Restauracji Radiowa w Opolu (woj. opolskie) związane z wprowadzeniem nowych usług dla klientów. - REGION 4,TOMREST TOMASZ WĄSIAK,OPOLSKIE,Opole,Strzelców Bytomskich,8,40-084,238098.72
Rozszerzenie profilu działalności przedsiębiorstwa UNIMAX sp. z o.o w ramach oferty hotelowej i gastronomicznej celem uodpornienia się na wypadek przyszłych kryzysów,UNI MAX Spółka z ograniczoną odpowiedzialnością,ŁÓDZKIE,Łódź,św. Teresy od Dzieciątka Jezus,111,91-222,493291.05
Unowocześnienie bazy usługowej i zwiększenie odporności działalności przedsiębiorstwa poprzez wdrożenie nowych usług gastronomicznych w Regionie 4 w województwie śląskim.,CS Poland Centrum-Sport Spółka z ograniczoną odpowiedzialnością,ŚLĄSKIE,Brenna,Wyzwolenia,40,43-438,540000.0
Zwiększenie odporności firmy KASPIO na przyszłe kryzysy poprzez dywersyfikację oferty produktowej.,KASPIO PIOTR WRÓBEL,ŁÓDZKIE,Nowy Józefów,,4,97-212,217991.39
"Rozszerzenie działalności lokalu KAZAMATY Pub & Restaurant w Nysie, woj. opolskie","KOF 2 S.C. TOMASZ PETNIAKOWSKI, PRZEMYSŁAW PAMUŁA",Opolskie,Tychy,Sienkiewicza,7,48-100,539999.99
"Zwiększenie odporności na sytuacje kryzysowe restauracji Gościniec Jaguś w Staniszczach Wielkich, woj. opolskie, poprzez dywersyfikację świadczonych usług- region 4","Zygmunt Jaguś Firma Handlowa ""MARK""",OPOLSKIE,Staniszcze Wielkie,Kościelna,2,47-113,536025.34
Rozszerzenie działalności HOTEL ASPEN SPÓŁKA Z OGRANICZONĄODPOWIEDZIALNOŚCIĄ (region 4 - woj. opolskie) związane z wprowadzeniem nowych usług dla klientów.,HOTEL ASPEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,OPOLSKIE,Opole,Budowlanych,64,45-123,531940.13
Zwiększenie odporności firmy GEMINI Edyta Sender z woj. łódzkiego na sytuacje kryzysowe pojawiające się w gospodarce dzięki dywersyfikacji świadczonych usług,GEMINI EDYTA SENDER,ŁÓDZKIE,Lućmierz,,14,95-100,534935.59
"Dywersyfikacja oferty OPAL TOUR TOMASZ WAWRZYŃCZAK, celem redukcji negatywnych skutków pandemii COVID-19.",OPAL TOUR TOMASZ WAWRZYŃCZAK,ŁÓDZKIE,Łódź,Łagiewnicka,54/56,91-463,474256.34
"Zwiększenie odporności przedsiębiorstwa na kryzysy zewnętrzne poprzez stworzenie nowych usług , jako dywersyfikacja działalności w województwie opolskim","Małgorzata Maćkowiak 1) Firma usługowo-handlowa, 2) Centrum Restauracyjno-hotelowe Florres",OPOLSKIE,Pawłowiczki,Wyzwolenia,61,47-280,539407.51
Zwiększenie odporności na kryzysy gospodarcze oraz rozwój przedsiębiorstwa poprzez realizację przedsięwzięcia w sektorze HoReCa polegającego na rozszerzeniu działalności restauracyjnej realizowanego w Regionie 4 w województwie śląskim.,"DWOREK "" POD LIPAMI "" MAŁGORZATA DREWNIOK",ŚLĄSKIE,Katowice,pl. Plac Pod Lipami,1,40-476,248606.1
Rozszerzenie działalności dzięki wdrożeniu nowej usługi na terenie województwa śląskiego,"""OSTRAWA"" FIRMA GASTRONOMICZNO-HANDLOWA S.C. BĄK DANUTA, BĄK-ACHTELIK MARZENA, ACHTELIK DARIUSZ",ŚLĄSKIE,Wodzisław Śląski,ks. płk. Wilhelma Kubsza,28,44-300,231843.74
Dywersyfikacja oferty usługowej w regionie łódzkim poprzez realizację projektu,"PRYWATNE PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""ANDREA"" ANDRZEJ KAMIŃSKI, OŚRODEK ""ZACISZE""",ŁÓDZKIE,Wieluń,Bartosza Głowackiego,3,98-300,464741.9
Rozszerzenie zakresu usług restauracji Zielona Restauracja,ZIELONA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŁÓDZKIE,Łódź,Drewnowska,58,91-002,349734.6
Dywersyfikacja usług Hotelu Magiczny Zakątek poprzez rozpoczęcie świadczenia usług wypożyczenia dmuchańców oraz namiotu na imprezy plenerowe Subregionu Kędzierzyńsko-Kozielskiego,MR PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,OPOLSKIE,Raszowa,Młyńska,11,47-150,281616.88
Rozwój Usług Cateringowych i Wypożyczalni Rowerów: Kompleksowa Obsługa Wydarzeń i Aktywności Rekreacyjnych w Subregionie Południowym,Przedsiębiorstwo Handlowo-Usługowe Agnieszka Żurakowska ,OPOLSKIE,Prudnik,Wiejska,22,48-200,420282.68
Nowa restauracja Włoska na terenie powiatu strzeleckiego.,HMZ Mariusz Stania i Marian Tkaczyk Spółka Cywilna,OPOLSKIE,Raszowa,Młyńska,11,47-150,530024.02
"Wprowadzenie nowych usług świadczonych przez Hotel Aleksandra A.Czech, K.Sklorz-Kowalska Spółka Jawna w Borkach Małych w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych oraz wartości niematerialnych i prawnych.","HOTEL ALEXANDRA A. CZECH,K.SKLORZ-KOWALSKA SPÓŁKA JAWNA",OPOLSKIE,Olesno,Wielkie Przedmieście,35,46-300,422240.35
Zwiększenie odporności przedsiębiorstwa na kryzysy gospodarcze oraz rozwój przedsiębiorstwa poprzez realizację przedsięwzięcia polegającego na rozszerzeniu i dywersyfikacji działalności w zakresie usług i produktów gastronomicznych oraz usług wypożyczania rowerów i sportowego sprzętu wodnego w połączeniu ze szkoleniem realizowanego w Regionie 4 w województwie śląskim.,ABSTRAKCJA JANUSZ ŚLIWKA,ŚLĄSKIE,Tychy,al. Aleja Jana Pawła II,10,43-100,348517.44
Edukacja Dla Bezpieczeństwa - dywersyfikacja działalności poprzez wprowadzenie nowych usług w ofercie firmy w regionie 4 w województwie śląskim.,BIZNES & MEDIA Bartosz Tyszkiewicz,ŚLĄSKIE,Knurów,Dworcowa,38a,44-190,272779.76
Bistro Villa - regionalne smaki w nowoczesnym wydaniu,VILLA ANTIQUA RAMONA WEISER-LUDZIEJEWSKA,ŚLĄSKIE,Racibórz,Piotrowska,16,47-400,268603.43
"Wieloaspektowa dywersyfikacja usług Biura Podróży Słoneczna Przygoda Krzysztof Kassner, Katarzyna Kassner S.C. - województwo Łódzkie : poprzez wprowadzenie nowej oferty produktów oraz bazy dla aktywnej turystyki dla różnych grup odbiorców, zgodnej z trendami zrównoważonego rozwoju -połączona z transformacją cyfrową działań marketingowych oraz szkoleniem kadry, mających na celu dotarcie do nowych klientów i zwiększenie odporności firmy na przyszłe wyzwania.",BIURO PODRÓŻY SŁONECZNA PRZYGODA KRZYSZTOF KASSNER KATARZYNA KASSNER SPÓŁKA CYWILNA,ŁÓDZKIE,Piła,Kilińskiego,6,64-920,538200.0
Rozszerzenie i dywersyfikacja działalności poprzez utworzenie linii produkcyjnej wysokojakościowej kawy przez przedsiębiorstwo SFD ANETA MUSIOŁ w region 4województwo śląskie,SFD ANETA MUSIOŁ,ŚLĄSKIE,Racibórz,Ocicka,7,47-400,540000.0
"Rozszerzenie i dywersyfikacja usług świadczonych przez Poziom 511 sp. z o.o. w oparciu o nowe i rozszerzone usługi a także inwestycje w rozwiązania cyfrowe, proekologiczne i rozwojowe podnoszące konkurencyjność firmy i zwiększające odporność na wypadek kolejnych kryzysów - realizowane w woj. śląskim - Region 4 - województwa łódzkie, opolskie, śląskie,",POZIOM 511 sp. z o.o.,ŚLĄSKIE,Podzamcze,Bonerów,33,42-440,533664.81
Dywersyfikacja działalności zlokalizowanego w województwie śląskim przedsiębiorstwa poprzez wprowadzenie nowej formy realizacji usług gastronomicznych.,GASTRO TESORO SEBASTIAN PAPIEROWSKI,ŚLĄSKIE,Katowice,Tysiąclecia,90,40-871,358034.07
Dywersyfikacja działalności oraz wprowadzenie nowatorskiego dla firmy sposobu świadczenia usług cateringowych sposobem na wzmocnienie odporności przedsiębiorstwa. Przedsięwzięcie realizowane na terenie woj. śląskiego ( region 4 ),"DAMIAN BUDNY ZAJAZD ""MAT""",ŚLĄSKIE,Bełk,Wolności,1,44-230,536622.13
"Dywersyfikacja działalności przedsiębiorstwa Soul of Taste s.c. mająca na celu wprowadzenie usługi noclegowej ""EkoRelax & Fun Resort"" z dostępem do terenu rekreacyjnego na który składać się będzie basen, sauna, balia do morsowania z hydromasażem i teren zielony do odpoczynku w miejscowości Dobków w województwie łódzkim – region 4",Soul of Taste spółka cywilna,ŁÓDZKIE,Łódź,al. Ks. Kardynała Stefana Wyszyńskiego,111,94-054,538724.43
Dywersyfikacja działalności firmy z branży turystycznej w celu zwiększenia odporności i gotowości przedsiębiorstwa na wypadek wystąpienia sytuacji kryzysowych,Maria Łuczak - Biuro Podróży Polonia,ŚLĄSKIE,Wieruszów,Warszawska,48,98-400,358655.02
"Dywersyfikacja usług w Pałacu Pawłowice w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych i utworzenie zewnętrznej strefy SPA i rekreacji.","Ewa Godyla Przedsiębiorstwo Wielobranżowe ""EWA""",OPOLSKIE,Kujakowice Górne,Miodowa,3,46-211,539974.23
"Usługa cateringu szansą na dywersyfikację działalności oraz wzmocnienie dla Zakładu Gastronomiczno Handlowego ""Zajazd u Hermanów"" w regionie czwartym tj. w województwach łódzkim, opolskim oraz śląskim.","Zakład Gastronomiczno Handlowy ""Zajazd u Hermanów"" Marcin Herman",ŚLĄSKIE,Olsztyn,Kazimierza Wielkiego,9,42-256,227947.27
Wdrożenie nowych produktów w przedsiębiorstwie z branży gastronomicznej,GRZEGORZ KAMPKA,ŚLĄSKIE,Racibórz,Mikołowska,1,47-400,540000.0
"Rozszerzenie usług gastronomicznych o usługi cateringowe, unowocześnienie infrastruktury hotelowej oraz gastronomicznej obiektu noclegowego Stary Młyn w Żorach w województwie Śląskim.","ALKAT S.C. Alicja Lazar-Biela, Katarzyna Lazar",ŚLĄSKIE,Żory,Męczenników Oświęcimskich,20,44-240,262430.81
Wprowadzenie usługi wynajmu rowerów celem dywersyfikacji działalności przedsiębiorstwa,"BARBARA BADORA PH ""B-K""",ŚLĄSKIE,Woźniki,Asfaltowa,188,42-289,260667.0
WZMOCNIENIE POZYCJI KONKURENCYJNEJ PRZEDSIĘBIORSTWA ESKIMOSKIPOPRZEZ DYWERSYFIKACJĘ PROFILU DZIAŁALNOŚCI,ESKIMOSKI Paulina Busz,ŚLĄSKIE,Bielsko-Biała,Jachtowa,71,43-300,299596.08
"Dywersyfikacja działalności firmy Serwis Gastronomiczny Sabina Cul w zakresie wprowadzenia usługi obsługi gastronomicznej imprez plenerowych poprzez realizację przedsięwzięć inwestycyjnych, szkoleniowych, doradczych, wzmacniające odporność na wypadek sytuacji kryzysowych w sektorze - województwo Śląskie, region nr. 4.",Serwis Gastronomiczny Sabina Cul,ŚLĄSKIE,Bielsko-Biała,Dywizji Kościuszkowskiej,7,43-300,232436.96
"Rozwój oraz dywersyfikacja działalności firmy KB Krzysztof Hankus w zakresie wprowadzenia usługi organizacji i obsługi targów, wystaw i kongresów a także przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering), poprzez realizację przedsięwzięć inwestycyjnych, szkoleniowych, doradczych, wzmacniające odporność na wypadek sytuacji kryzysowych w sektorze - województwo Śląskie, region nr.4.",KB Krzysztof Hankus,ŚLĄSKIE,Bielsko-Biała,Leszczyńska,40,43-300,466028.9
"Dywersyfikacja działalności Restauracja ""AMARO"" ANNA NIKIEL i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usług z zakresu cateringu.",Restauracja AMARO ANNA NIKIEL,ŚLĄSKIE,Orzesze,św. Wawrzyńca,11,43-180,379781.76
Dywersyfikacja działalności firmy Wanilia Sp. z o. o. Sp. k. i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usługi cateringu i sprzedaży z przyczep gastronomicznych,Wanilia Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,ŁÓDZKIE,Łódź,Helska,42,91-342,527110.19
Dywersyfikacja usług w przedsiębiorstwie Expert ET Daniel Prysak w województwie śląskim,Expert ET Daniel Prysak,ŚLĄSKIE,Częstochowa,Jana Lechonia,13,42-229,366383.46
"Rozszerzenie działalności firmy ""Warsztat Smaku Kamil Skowron"" i zwiększenie grupy odbiorców usług poprzez zakup nowoczesnego, energooszczędnego sprzętu gastronomicznego oraz utworzenie nowej, dostępnej strony internetowej - region śląski.",Warsztat Smaku Kamil Skowron,ŚLĄSKIE,Bystra,Klimczoka,105,43-360,87300.0
Wprowadzenie nowej oferty gastronomicznej polegającej na stworzeniu mobilnych stanowisk gastronomicznych wraz z miejscami do konsumpcji- sprzedaż dań i deserów podczas różnych imprez plenerowych w województwie opolskim. Dywersyfikacja oferty gastronomicznej firmy jako sposób uodpornienia się na możliwe kryzysy. - REGION 4.,GASTRO KERN SEBASTIAN,OPOLSKIE,Biedrzychowice,,119,48-250,182057.52
